account,sector,year_established,revenue,employees,office_location,subsidiary_of
Acme Corporation,Technolgy,1996,1100.04,2822,United States,Acme Corporation
Betasoloin,Medical,1999,251.41,495,United States,Acme Corporation
Betatech,Medical,1986,647.18,1185,Kenya,Acme Corporation
Bioholding,Medical,2012,587.34,1356,Philipines,Acme Corporation
Bioplex,Medical,1991,326.82,1016,United States,Acme Corporation
Blackzim,Retail,2009,497.11,1588,United States,Acme Corporation
Bluth Company,Technolgy,1993,1242.32,3027,United States,Acme Corporation
Bubba Gump,Software,2002,987.39,2253,United States,Acme Corporation
Cancity,Retail,2001,718.62,2448,United States,Acme Corporation
Cheers,Entertainment,1993,4269.9,6472,United States,Massive Dynamic
Codehow,Software,1998,2714.9,2641,United States,Acme Corporation
Condax,Medical,2017,4.54,9,United States,Acme Corporation
Conecom,Technolgy,2005,1520.66,1806,United States,Acme Corporation
Dalttechnology,Software,2013,98.79,96,United States,Bubba Gump
Dambase,Marketing,1995,2173.98,2928,United States,Inity
Domzoom,Entertainment,1998,217.87,551,United States,Acme Corporation
Doncon,Technolgy,2010,587.72,1501,United States,Acme Corporation
Donquadtech,Technolgy,1992,1712.68,3194,United States,Acme Corporation
Dontechi,Software,1982,4618.0,10083,United States,Acme Corporation
Donware,Marketing,1999,1197.44,2570,United States,Acme Corporation
Fasehatice,Retail,1990,4968.91,7523,United States,Acme Corporation
Faxquote,Telecommunications,1995,1825.82,5595,United States,Sonron
Finhigh,Finance,2006,1102.43,1759,United States,Acme Corporation
Finjob,Employment,1988,2059.9,3644,United States,Acme Corporation
Funholding,Finance,1991,2819.5,7227,United States,Golddex
Ganjaflex,Retail,1995,5158.71,17479,Japan,Acme Corporation
Gekko & Co,Retail,1990,2520.83,3502,United States,Acme Corporation
Genco Pura Olive Oil Company,Retail,2007,894.33,1635,Italy,Acme Corporation
Globex Corporation,Technolgy,2000,1223.72,2497,Norway,Acme Corporation
Gogozoom,Telecommunications,2007,86.68,187,United States,Sonron
Golddex,Finance,2008,52.5,165,United States,Acme Corporation
Goodsilron,Marketing,2000,2952.73,5107,United States,Acme Corporation
Green-Plus,Services,2003,692.19,1922,United States,Acme Corporation
Groovestreet,Retail,2003,223.8,299,United States,Acme Corporation
Hatfan,Services,1982,792.46,1299,United States,Acme Corporation
Hottechi,Technolgy,1997,8170.38,16499,Korea,Acme Corporation
Initech,Telecommunications,1994,6395.05,20275,United States,Acme Corporation
Inity,Marketing,1986,2403.58,8801,United States,Acme Corporation
Isdom,Medical,2002,3178.24,4540,United States,Acme Corporation
Iselectrics,Technolgy,2011,527.11,1428,United States,Acme Corporation
J-Texon,Retail,1989,1388.67,3583,United States,Acme Corporation
Kan-Code,Software,1982,11698.03,34288,United States,Acme Corporation
Kinnamplus,Retail,2004,702.72,1831,United States,Acme Corporation
Konex,Technolgy,1980,7708.38,13756,United States,Acme Corporation
Konmatfix,Marketing,1985,375.43,1190,United States,Acme Corporation
Labdrill,Medical,1985,2741.37,9226,United States,Acme Corporation
Lexiqvolax,Medical,2004,1618.89,3889,United States,Acme Corporation
Massive Dynamic,Entertainment,1989,665.06,1095,United States,Acme Corporation
Mathtouch,Marketing,1984,3027.46,9516,Jordan,Acme Corporation
Nam-Zim,Services,1987,405.59,1179,Brazil,Warephase
Newex,Services,1991,1012.72,3492,Germany,Acme Corporation
Ontomedia,Employment,1997,882.12,2769,United States,Acme Corporation
Opentech,Finance,1994,355.23,853,United States,Acme Corporation
Plexzap,Retail,2001,2437.85,4874,United States,Acme Corporation
Plusstrip,Entertainment,2002,349.81,315,United States,Acme Corporation
Plussunin,Retail,2003,1419.98,4018,United States,Acme Corporation
Rangreen,Technolgy,1987,2938.67,8775,Panama,Acme Corporation
Rantouch,Telecommunications,1994,1188.42,3015,United States,Acme Corporation
Ron-Tech,Medical,1992,3922.42,6837,United States,Acme Corporation
Rundofase,Technolgy,1983,1008.06,1238,United States,Acme Corporation
Scotfind,Software,1996,6354.87,16780,United States,Bubba Gump
Scottech,Marketing,2012,45.39,100,United States,Inity
Silis,Medical,1994,2818.38,6290,United States,Acme Corporation
Singletechno,Retail,1996,2214.94,5374,United States,Acme Corporation
Sonron,Telecommunications,1999,1699.85,5108,United States,Acme Corporation
Stanredtax,Finance,1987,1698.2,3798,United States,Acme Corporation
Statholdings,Employment,1997,291.27,586,United States,Acme Corporation
Streethex,Retail,1988,1376.8,1165,Belgium,Acme Corporation
Sumace,Retail,2000,167.89,493,Romania,Acme Corporation
Sunnamplex,Marketing,2008,894.37,1593,Poland,Acme Corporation
The New York Inquirer,Medical,1996,439.21,792,United States,Acme Corporation
Toughzap,Retail,1995,332.43,799,United States,Acme Corporation
Treequote,Telecommunications,1988,5266.09,8595,United States,Sonron
Umbrella Corporation,Finance,1998,2022.14,5113,United States,Acme Corporation
Vehement Capital Partners,Finance,1993,646.1,883,United States,Golddex
Warephase,Services,1997,2041.73,5276,United States,Acme Corporation
Xx-Holding,Finance,1993,7537.24,20293,United States,Acme Corporation
Xx-Zobam,Entertainment,1989,3838.39,8274,United States,Acme Corporation
Y-Corporation,Employment,1983,2871.35,9561,United States,Acme Corporation
Yearin,Retail,2005,2261.05,3851,United States,Acme Corporation
Zathunicon,Retail,2010,71.12,144,United States,Acme Corporation
Zencorporation,Technolgy,2011,40.79,142,China,Acme Corporation
Zoomit,Entertainment,1992,324.19,978,United States,Acme Corporation
Zotware,Software,1979,4478.47,13809,United States,Acme Corporation
Zumgoity,Medical,1984,441.08,1210,United States,Acme Corporation
