account,sector,year_established,revenue,employees,office_location,subsidiary_of
acme_corporation,technology,1996.0,1100.04,2822.0,united_states,acme_corporation
betasoloin,medical,1999.0,251.41,495.0,united_states,acme_corporation
betatech,medical,1986.0,647.18,1185.0,kenya,acme_corporation
bioholding,medical,2012.0,587.34,1356.0,philippines,acme_corporation
bioplex,medical,1991.0,326.82,1016.0,united_states,acme_corporation
blackzim,retail,2009.0,497.11,1588.0,united_states,acme_corporation
bluth_company,technology,1993.0,1242.32,3027.0,united_states,acme_corporation
bubba_gump,software,2002.0,987.39,2253.0,united_states,acme_corporation
cancity,retail,2001.0,718.62,2448.0,united_states,acme_corporation
cheers,entertainment,1993.0,4269.9,6472.0,united_states,massive_dynamic
codehow,software,1998.0,2714.9,2641.0,united_states,acme_corporation
condax,medical,2017.0,4.54,9.0,united_states,acme_corporation
conecom,technology,2005.0,1520.66,1806.0,united_states,acme_corporation
dalttechnology,software,2013.0,98.79,96.0,united_states,bubba_gump
dambase,marketing,1995.0,2173.98,2928.0,united_states,inity
domzoom,entertainment,1998.0,217.87,551.0,united_states,acme_corporation
doncon,technology,2010.0,587.72,1501.0,united_states,acme_corporation
donquadtech,technology,1992.0,1712.68,3194.0,united_states,acme_corporation
dontechi,software,1982.0,4618.0,10083.0,united_states,acme_corporation
donware,marketing,1999.0,1197.44,2570.0,united_states,acme_corporation
fasehatice,retail,1990.0,4968.91,7523.0,united_states,acme_corporation
faxquote,telecommunications,1995.0,1825.82,5595.0,united_states,sonron
finhigh,finance,2006.0,1102.43,1759.0,united_states,acme_corporation
finjob,employment,1988.0,2059.9,3644.0,united_states,acme_corporation
funholding,finance,1991.0,2819.5,7227.0,united_states,golddex
ganjaflex,retail,1995.0,5158.71,17479.0,japan,acme_corporation
gekko_&_co,retail,1990.0,2520.83,3502.0,united_states,acme_corporation
genco_pura_olive_oil_company,retail,2007.0,894.33,1635.0,italy,acme_corporation
globex_corporation,technology,2000.0,1223.72,2497.0,norway,acme_corporation
gogozoom,telecommunications,2007.0,86.68,187.0,united_states,sonron
golddex,finance,2008.0,52.5,165.0,united_states,acme_corporation
goodsilron,marketing,2000.0,2952.73,5107.0,united_states,acme_corporation
green-plus,services,2003.0,692.19,1922.0,united_states,acme_corporation
groovestreet,retail,2003.0,223.8,299.0,united_states,acme_corporation
hatfan,services,1982.0,792.46,1299.0,united_states,acme_corporation
hottechi,technology,1997.0,8170.38,16499.0,korea,acme_corporation
initech,telecommunications,1994.0,6395.05,20275.0,united_states,acme_corporation
inity,marketing,1986.0,2403.58,8801.0,united_states,acme_corporation
isdom,medical,2002.0,3178.24,4540.0,united_states,acme_corporation
iselectrics,technology,2011.0,527.11,1428.0,united_states,acme_corporation
j-texon,retail,1989.0,1388.67,3583.0,united_states,acme_corporation
kan-code,software,1982.0,11698.03,34288.0,united_states,acme_corporation
kinnamplus,retail,2004.0,702.72,1831.0,united_states,acme_corporation
konex,technology,1980.0,7708.38,13756.0,united_states,acme_corporation
konmatfix,marketing,1985.0,375.43,1190.0,united_states,acme_corporation
labdrill,medical,1985.0,2741.37,9226.0,united_states,acme_corporation
lexiqvolax,medical,2004.0,1618.89,3889.0,united_states,acme_corporation
massive_dynamic,entertainment,1989.0,665.06,1095.0,united_states,acme_corporation
mathtouch,marketing,1984.0,3027.46,9516.0,jordan,acme_corporation
nam-zim,services,1987.0,405.59,1179.0,brazil,warephase
newex,services,1991.0,1012.72,3492.0,germany,acme_corporation
ontomedia,employment,1997.0,882.12,2769.0,united_states,acme_corporation
opentech,finance,1994.0,355.23,853.0,united_states,acme_corporation
plexzap,retail,2001.0,2437.85,4874.0,united_states,acme_corporation
plusstrip,entertainment,2002.0,349.81,315.0,united_states,acme_corporation
plussunin,retail,2003.0,1419.98,4018.0,united_states,acme_corporation
rangreen,technology,1987.0,2938.67,8775.0,panama,acme_corporation
rantouch,telecommunications,1994.0,1188.42,3015.0,united_states,acme_corporation
ron-tech,medical,1992.0,3922.42,6837.0,united_states,acme_corporation
rundofase,technology,1983.0,1008.06,1238.0,united_states,acme_corporation
scotfind,software,1996.0,6354.87,16780.0,united_states,bubba_gump
scottech,marketing,2012.0,45.39,100.0,united_states,inity
silis,medical,1994.0,2818.38,6290.0,united_states,acme_corporation
singletechno,retail,1996.0,2214.94,5374.0,united_states,acme_corporation
sonron,telecommunications,1999.0,1699.85,5108.0,united_states,acme_corporation
stanredtax,finance,1987.0,1698.2,3798.0,united_states,acme_corporation
statholdings,employment,1997.0,291.27,586.0,united_states,acme_corporation
streethex,retail,1988.0,1376.8,1165.0,belgium,acme_corporation
sumace,retail,2000.0,167.89,493.0,romania,acme_corporation
sunnamplex,marketing,2008.0,894.37,1593.0,poland,acme_corporation
the_new_york_inquirer,medical,1996.0,439.21,792.0,united_states,acme_corporation
toughzap,retail,1995.0,332.43,799.0,united_states,acme_corporation
treequote,telecommunications,1988.0,5266.09,8595.0,united_states,sonron
umbrella_corporation,finance,1998.0,2022.14,5113.0,united_states,acme_corporation
vehement_capital_partners,finance,1993.0,646.1,883.0,united_states,golddex
warephase,services,1997.0,2041.73,5276.0,united_states,acme_corporation
xx-holding,finance,1993.0,7537.24,20293.0,united_states,acme_corporation
xx-zobam,entertainment,1989.0,3838.39,8274.0,united_states,acme_corporation
y-corporation,employment,1983.0,2871.35,9561.0,united_states,acme_corporation
yearin,retail,2005.0,2261.05,3851.0,united_states,acme_corporation
zathunicon,retail,2010.0,71.12,144.0,united_states,acme_corporation
zencorporation,technology,2011.0,40.79,142.0,china,acme_corporation
zoomit,entertainment,1992.0,324.19,978.0,united_states,acme_corporation
zotware,software,1979.0,4478.47,13809.0,united_states,acme_corporation
zumgoity,medical,1984.0,441.08,1210.0,united_states,acme_corporation
